crossover_proportion,crossover_edges,mutation_prob,elitism_proportion,repeat,seed,best_score,n_nodes,n_edges,in_degree_max,out_degree_max,elapsed_sec,error
0.2,5,0.7,0.3,2,15296,,,,,,36.300051643978804,"float() argument must be a string or a real number, not 'list'"
0.2,5,0.6,0.3,0,14023,,,,,,46.61441766284406,"float() argument must be a string or a real number, not 'list'"
0.2,5,0.7,0.4,1,14808,,,,,,36.17590697109699,"float() argument must be a string or a real number, not 'list'"
0.2,5,0.7,0.3,1,15295,,,,,,37.920889208093286,"float() argument must be a string or a real number, not 'list'"
0.2,5,0.7,0.2,2,16434,,,,,,38.72790458519012,"float() argument must be a string or a real number, not 'list'"
0.2,5,0.7,0.5,1,15542,,,,,,36.13859145483002,"float() argument must be a string or a real number, not 'list'"
0.2,5,0.7,0.5,2,15543,,,,,,36.027233914937824,"float() argument must be a string or a real number, not 'list'"
0.2,5,0.7,0.2,1,16433,,,,,,39.40390121890232,"float() argument must be a string or a real number, not 'list'"
0.2,4,1.0,0.1,2,13207,,,,,,57.53155686100945,"float() argument must be a string or a real number, not 'list'"
0.2,5,0.8,0.5,0,17536,,,,,,35.201900424901396,"float() argument must be a string or a real number, not 'list'"
