crossover_proportion,crossover_edges,mutation_prob,elitism_proportion,mean,std,count
0.6,4,0.9,0.3,-79719.84148725541,5266.812204440646,2
0.6,4,0.9,0.1,-79725.89976046933,3952.883510422352,2
0.6,5,1.0,0.2,-79733.95532948736,905.244784991431,2
0.6,1,0.6,0.1,-79744.07089321065,1048.0770179159426,2
0.4,3,0.7,0.3,-79745.25198407148,1489.6450153249498,2
0.4,4,0.6,0.4,-79748.558716152,5912.7333690774585,2
0.3,2,0.7,0.2,-79748.93226926088,1601.0590155898174,2
0.4,4,0.9,0.4,-79766.27235789975,148.13352105676546,2
0.5,1,0.9,0.3,-79776.54137936077,2331.498506655502,2
0.3,3,0.7,0.4,-79781.38521916966,407.4528437256007,2
0.6,2,0.6,0.1,-79810.7869087973,2480.8378167852347,2
0.3,5,0.9,0.2,-79812.21178308633,1230.154319084841,2
0.3,1,0.9,0.4,-79828.79594684285,3425.4831798175824,2
0.6,5,0.8,0.2,-79839.80887252043,393.6228958206479,2
0.5,2,0.9,0.5,-79860.7730631579,95.02360675628827,2
0.6,2,1.0,0.3,-79863.43307409773,850.9883581022183,2
0.3,3,0.8,0.5,-79871.51537200631,1825.4687000904712,2
0.4,5,0.9,0.2,-79888.63344617697,2746.0991356623363,2
0.2,2,0.9,0.2,-79898.61023295342,1177.4161256924224,2
0.6,1,0.9,0.2,-79903.4725751517,1326.453443686898,2
0.5,5,0.7,0.3,-79930.73568638875,1678.5999267685388,2
0.3,2,0.6,0.2,-79945.55234873042,1745.8414554231842,2
0.4,3,0.9,0.2,-79957.87277222515,108.16471093408404,2
0.2,3,0.6,0.4,-79958.22466001689,1046.3775679686817,2
0.6,1,0.7,0.1,-79961.06771746092,1528.4255737792612,2
0.3,3,0.6,0.3,-79961.44107921628,1521.6043861407381,2
0.4,2,0.8,0.4,-79961.52583759933,1935.3986880699117,2
0.6,2,0.9,0.1,-79962.64420042033,180.1746891599498,2
0.5,4,0.9,0.1,-79966.00130540165,115.86389831237577,2
0.5,4,0.8,0.3,-79980.4189079881,810.7742668020365,2
0.2,2,0.7,0.3,-79995.22627402742,1048.2879846887931,2
0.3,1,0.8,0.4,-79996.05354281684,4260.942078212369,2
0.2,3,0.8,0.5,-80013.4490105717,33.087458795275126,2
0.2,1,0.7,0.1,-80015.99116362963,669.7078814957366,2
0.5,3,0.7,0.3,-80018.64050312244,1767.9132225318456,2
0.4,1,0.7,0.2,-80020.57628251173,302.1441458204358,2
0.5,5,0.6,0.1,-80023.28517161579,1779.0238828466347,2
0.4,5,0.6,0.3,-80023.77027716172,129.82900017074311,2
0.4,2,0.6,0.4,-80027.42620702463,4778.196619586235,2
0.5,1,0.9,0.2,-80050.1639984433,5207.072624932095,2
0.5,1,0.8,0.1,-80061.39565392214,1649.617514077997,2
0.4,3,0.7,0.2,-80070.58457666443,3912.399144890277,2
