i,family,syn_cutoff,target_mi,pair_probs,num_vars
385,ba,0.7,0.4754887502163468,0.5,20
386,ba,0.7,0.4754887502163468,0.6,20
387,ba,0.7,0.4754887502163468,0.7,20
388,ba,0.7,0.6339850002884625,0.4,20
389,ba,0.7,0.6339850002884625,0.5,20
390,ba,0.7,0.6339850002884625,0.6,20
391,ba,0.7,0.6339850002884625,0.7,20
392,ba,0.7,0.792481250360578,0.4,20
393,ba,0.7,0.792481250360578,0.5,20
394,ba,0.7,0.792481250360578,0.6,20
395,ba,0.7,0.792481250360578,0.7,20
396,ba,0.7,0.9509775004326936,0.4,20
397,ba,0.7,0.9509775004326936,0.5,20
398,ba,0.7,0.9509775004326936,0.6,20
399,ba,0.7,0.9509775004326936,0.7,20
400,ba,0.4,0.31699250014423125,0.4,30
401,ba,0.4,0.31699250014423125,0.5,30
402,ba,0.4,0.31699250014423125,0.6,30
403,ba,0.4,0.31699250014423125,0.7,30
404,ba,0.4,0.4754887502163468,0.4,30
405,ba,0.4,0.4754887502163468,0.5,30
406,ba,0.4,0.4754887502163468,0.6,30
407,ba,0.4,0.4754887502163468,0.7,30
408,ba,0.4,0.6339850002884625,0.4,30
409,ba,0.4,0.6339850002884625,0.5,30
410,ba,0.4,0.6339850002884625,0.6,30
411,ba,0.4,0.6339850002884625,0.7,30
412,ba,0.4,0.792481250360578,0.4,30
413,ba,0.4,0.792481250360578,0.5,30
414,ba,0.4,0.792481250360578,0.6,30
415,ba,0.4,0.792481250360578,0.7,30
416,ba,0.4,0.9509775004326936,0.4,30
417,ba,0.4,0.9509775004326936,0.5,30
418,ba,0.4,0.9509775004326936,0.6,30
419,ba,0.4,0.9509775004326936,0.7,30
420,ba,0.5,0.31699250014423125,0.4,30
421,ba,0.5,0.31699250014423125,0.5,30
422,ba,0.5,0.31699250014423125,0.6,30
423,ba,0.5,0.31699250014423125,0.7,30
424,ba,0.5,0.4754887502163468,0.4,30
425,ba,0.5,0.4754887502163468,0.5,30
426,ba,0.5,0.4754887502163468,0.6,30
427,ba,0.5,0.4754887502163468,0.7,30
428,ba,0.5,0.6339850002884625,0.4,30
429,ba,0.5,0.6339850002884625,0.5,30
430,ba,0.5,0.6339850002884625,0.6,30
431,ba,0.5,0.6339850002884625,0.7,30
432,ba,0.5,0.792481250360578,0.4,30
433,ba,0.5,0.792481250360578,0.5,30
434,ba,0.5,0.792481250360578,0.6,30
435,ba,0.5,0.792481250360578,0.7,30
436,ba,0.5,0.9509775004326936,0.4,30
437,ba,0.5,0.9509775004326936,0.5,30
438,ba,0.5,0.9509775004326936,0.6,30
439,ba,0.5,0.9509775004326936,0.7,30
440,ba,0.6,0.31699250014423125,0.4,30
441,ba,0.6,0.31699250014423125,0.5,30
442,ba,0.6,0.31699250014423125,0.6,30
443,ba,0.6,0.31699250014423125,0.7,30
444,ba,0.6,0.4754887502163468,0.4,30
445,ba,0.6,0.4754887502163468,0.5,30
446,ba,0.6,0.4754887502163468,0.6,30
447,ba,0.6,0.4754887502163468,0.7,30
448,ba,0.6,0.6339850002884625,0.4,30
449,ba,0.6,0.6339850002884625,0.5,30
450,ba,0.6,0.6339850002884625,0.6,30
451,ba,0.6,0.6339850002884625,0.7,30
452,ba,0.6,0.792481250360578,0.4,30
453,ba,0.6,0.792481250360578,0.5,30
454,ba,0.6,0.792481250360578,0.6,30
455,ba,0.6,0.792481250360578,0.7,30
456,ba,0.6,0.9509775004326936,0.4,30
457,ba,0.6,0.9509775004326936,0.5,30
458,ba,0.6,0.9509775004326936,0.6,30
459,ba,0.6,0.9509775004326936,0.7,30
460,ba,0.7,0.31699250014423125,0.4,30
461,ba,0.7,0.31699250014423125,0.5,30
462,ba,0.7,0.31699250014423125,0.6,30
463,ba,0.7,0.31699250014423125,0.7,30
464,ba,0.7,0.4754887502163468,0.4,30
465,ba,0.7,0.4754887502163468,0.5,30
466,ba,0.7,0.4754887502163468,0.6,30
467,ba,0.7,0.4754887502163468,0.7,30
468,ba,0.7,0.6339850002884625,0.4,30
469,ba,0.7,0.6339850002884625,0.5,30
470,ba,0.7,0.6339850002884625,0.6,30
471,ba,0.7,0.6339850002884625,0.7,30
472,ba,0.7,0.792481250360578,0.4,30
473,ba,0.7,0.792481250360578,0.5,30
474,ba,0.7,0.792481250360578,0.6,30
475,ba,0.7,0.792481250360578,0.7,30
476,ba,0.7,0.9509775004326936,0.4,30
477,ba,0.7,0.9509775004326936,0.5,30
478,ba,0.7,0.9509775004326936,0.6,30
479,ba,0.7,0.9509775004326936,0.7,30
480,small-world,0.4,0.31699250014423125,0.4,10
481,small-world,0.4,0.31699250014423125,0.5,10
482,small-world,0.4,0.31699250014423125,0.6,10
483,small-world,0.4,0.31699250014423125,0.7,10
484,small-world,0.4,0.4754887502163468,0.4,10
485,small-world,0.4,0.4754887502163468,0.5,10
486,small-world,0.4,0.4754887502163468,0.6,10
487,small-world,0.4,0.4754887502163468,0.7,10
