i,total_vars,dag_family,p_syn,p_noise,samples
547,30,ba,0.0,0.1,2000
548,30,ba,0.0,0.1,5000
549,30,ba,0.0,0.1,10000
550,30,ba,0.0,0.2,500
551,30,ba,0.0,0.2,1000
552,30,ba,0.0,0.2,2000
553,30,ba,0.0,0.2,5000
554,30,ba,0.0,0.2,10000
555,30,ba,0.0,0.3,500
556,30,ba,0.0,0.3,1000
557,30,ba,0.0,0.3,2000
558,30,ba,0.0,0.3,5000
559,30,ba,0.0,0.3,10000
560,30,ba,0.0,0.4,500
561,30,ba,0.0,0.4,1000
562,30,ba,0.0,0.4,2000
563,30,ba,0.0,0.4,5000
564,30,ba,0.0,0.4,10000
565,30,ba,0.0,0.5,500
566,30,ba,0.0,0.5,1000
567,30,ba,0.0,0.5,2000
568,30,ba,0.0,0.5,5000
569,30,ba,0.0,0.5,10000
570,30,ba,0.5,0.0,500
571,30,ba,0.5,0.0,1000
572,30,ba,0.5,0.0,2000
573,30,ba,0.5,0.0,5000
574,30,ba,0.5,0.0,10000
575,30,ba,0.5,0.1,500
576,30,ba,0.5,0.1,1000
577,30,ba,0.5,0.1,2000
578,30,ba,0.5,0.1,5000
579,30,ba,0.5,0.1,10000
580,30,ba,0.5,0.2,500
581,30,ba,0.5,0.2,1000
582,30,ba,0.5,0.2,2000
583,30,ba,0.5,0.2,5000
584,30,ba,0.5,0.2,10000
585,30,ba,0.5,0.3,500
586,30,ba,0.5,0.3,1000
587,30,ba,0.5,0.3,2000
588,30,ba,0.5,0.3,5000
589,30,ba,0.5,0.3,10000
590,30,ba,0.5,0.4,500
591,30,ba,0.5,0.4,1000
592,30,ba,0.5,0.4,2000
593,30,ba,0.5,0.4,5000
594,30,ba,0.5,0.4,10000
595,30,ba,0.5,0.5,500
596,30,ba,0.5,0.5,1000
597,30,ba,0.5,0.5,2000
598,30,ba,0.5,0.5,5000
599,30,ba,0.5,0.5,10000
600,30,ba,1.0,0.0,500
601,30,ba,1.0,0.0,1000
602,30,ba,1.0,0.0,2000
603,30,ba,1.0,0.0,5000
604,30,ba,1.0,0.0,10000
605,30,ba,1.0,0.1,500
606,30,ba,1.0,0.1,1000
607,30,ba,1.0,0.1,2000
608,30,ba,1.0,0.1,5000
609,30,ba,1.0,0.1,10000
610,30,ba,1.0,0.2,500
611,30,ba,1.0,0.2,1000
612,30,ba,1.0,0.2,2000
613,30,ba,1.0,0.2,5000
614,30,ba,1.0,0.2,10000
615,30,ba,1.0,0.3,500
616,30,ba,1.0,0.3,1000
617,30,ba,1.0,0.3,2000
618,30,ba,1.0,0.3,5000
619,30,ba,1.0,0.3,10000
620,30,ba,1.0,0.4,500
621,30,ba,1.0,0.4,1000
622,30,ba,1.0,0.4,2000
623,30,ba,1.0,0.4,5000
624,30,ba,1.0,0.4,10000
625,30,ba,1.0,0.5,500
626,30,ba,1.0,0.5,1000
627,30,ba,1.0,0.5,2000
628,30,ba,1.0,0.5,5000
629,30,ba,1.0,0.5,10000
630,30,er,0.0,0.0,500
631,30,er,0.0,0.0,1000
632,30,er,0.0,0.0,2000
633,30,er,0.0,0.0,5000
634,30,er,0.0,0.0,10000
635,30,er,0.0,0.1,500
636,30,er,0.0,0.1,1000
637,30,er,0.0,0.1,2000
638,30,er,0.0,0.1,5000
639,30,er,0.0,0.1,10000
640,30,er,0.0,0.2,500
641,30,er,0.0,0.2,1000
642,30,er,0.0,0.2,2000
643,30,er,0.0,0.2,5000
644,30,er,0.0,0.2,10000
645,30,er,0.0,0.3,500
646,30,er,0.0,0.3,1000
647,30,er,0.0,0.3,2000
648,30,er,0.0,0.3,5000
649,30,er,0.0,0.3,10000
650,30,er,0.0,0.4,500
651,30,er,0.0,0.4,1000
652,30,er,0.0,0.4,2000
653,30,er,0.0,0.4,5000
654,30,er,0.0,0.4,10000
655,30,er,0.0,0.5,500
656,30,er,0.0,0.5,1000
657,30,er,0.0,0.5,2000
658,30,er,0.0,0.5,5000
659,30,er,0.0,0.5,10000
660,30,er,0.5,0.0,500
661,30,er,0.5,0.0,1000
662,30,er,0.5,0.0,2000
663,30,er,0.5,0.0,5000
664,30,er,0.5,0.0,10000
665,30,er,0.5,0.1,500
666,30,er,0.5,0.1,1000
667,30,er,0.5,0.1,2000
668,30,er,0.5,0.1,5000
669,30,er,0.5,0.1,10000
670,30,er,0.5,0.2,500
671,30,er,0.5,0.2,1000
672,30,er,0.5,0.2,2000
673,30,er,0.5,0.2,5000
674,30,er,0.5,0.2,10000
675,30,er,0.5,0.3,500
676,30,er,0.5,0.3,1000
677,30,er,0.5,0.3,2000
678,30,er,0.5,0.3,5000
679,30,er,0.5,0.3,10000
680,30,er,0.5,0.4,500
681,30,er,0.5,0.4,1000
682,30,er,0.5,0.4,2000
683,30,er,0.5,0.4,5000
684,30,er,0.5,0.4,10000
685,30,er,0.5,0.5,500
686,30,er,0.5,0.5,1000
687,30,er,0.5,0.5,2000
688,30,er,0.5,0.5,5000
689,30,er,0.5,0.5,10000
690,30,er,1.0,0.0,500
691,30,er,1.0,0.0,1000
692,30,er,1.0,0.0,2000
693,30,er,1.0,0.0,5000
694,30,er,1.0,0.0,10000
695,30,er,1.0,0.1,500
696,30,er,1.0,0.1,1000
697,30,er,1.0,0.1,2000
698,30,er,1.0,0.1,5000
699,30,er,1.0,0.1,10000
700,30,er,1.0,0.2,500
701,30,er,1.0,0.2,1000
702,30,er,1.0,0.2,2000
703,30,er,1.0,0.2,5000
704,30,er,1.0,0.2,10000
705,30,er,1.0,0.3,500
706,30,er,1.0,0.3,1000
707,30,er,1.0,0.3,2000
708,30,er,1.0,0.3,5000
709,30,er,1.0,0.3,10000
710,30,er,1.0,0.4,500
711,30,er,1.0,0.4,1000
712,30,er,1.0,0.4,2000
713,30,er,1.0,0.4,5000
714,30,er,1.0,0.4,10000
715,30,er,1.0,0.5,500
716,30,er,1.0,0.5,1000
717,30,er,1.0,0.5,2000
718,30,er,1.0,0.5,5000
719,30,er,1.0,0.5,10000
720,30,small-world,0.0,0.0,500
721,30,small-world,0.0,0.0,1000
722,30,small-world,0.0,0.0,2000
723,30,small-world,0.0,0.0,5000
724,30,small-world,0.0,0.0,10000
725,30,small-world,0.0,0.1,500
726,30,small-world,0.0,0.1,1000
727,30,small-world,0.0,0.1,2000
728,30,small-world,0.0,0.1,5000
729,30,small-world,0.0,0.1,10000
730,30,small-world,0.0,0.2,500
731,30,small-world,0.0,0.2,1000
732,30,small-world,0.0,0.2,2000
733,30,small-world,0.0,0.2,5000
734,30,small-world,0.0,0.2,10000
735,30,small-world,0.0,0.3,500
736,30,small-world,0.0,0.3,1000
737,30,small-world,0.0,0.3,2000
738,30,small-world,0.0,0.3,5000
739,30,small-world,0.0,0.3,10000
740,30,small-world,0.0,0.4,500
741,30,small-world,0.0,0.4,1000
742,30,small-world,0.0,0.4,2000
743,30,small-world,0.0,0.4,5000
744,30,small-world,0.0,0.4,10000
745,30,small-world,0.0,0.5,500
746,30,small-world,0.0,0.5,1000
747,30,small-world,0.0,0.5,2000
748,30,small-world,0.0,0.5,5000
